Time(s),Error
0.5,-10.0022
0.501,-10.0022
0.502,-10.0022
0.503,-10.0022
0.504,-10.0022
0.505,-9.98996
0.506,-9.95293
0.507,-9.89706
0.508,-9.82143
0.509,-9.82143
0.51,-9.73952
0.511,-9.64129
0.512,-9.53127
0.513,-9.41861
0.514,-9.28742
0.515,-9.28742
0.516,-9.12579
0.517,-8.95915
0.518,-8.78497
0.519,-8.58004
0.52,-8.3798
0.521,-8.3798
0.522,-8.16922
0.523,-7.92694
0.524,-7.68999
0.525,-7.44049
0.526,-7.15553
0.527,-7.15553
0.528,-6.90132
0.529,-6.59376
0.53,-6.26957
0.531,-6.26957
0.532,-5.79661
0.533,-5.46583
0.534,-5.12343
0.535,-5.12343
0.536,-4.76503
0.537,-4.40223
0.538,-3.99268
0.539,-3.57183
0.54,-3.16367
0.541,-2.76133
0.542,-2.76133
0.543,-2.31191
0.544,-1.88948
0.545,-1.46079
0.546,-1.01828
0.547,-1.01828
0.548,-0.584873
0.549,-0.0971642
0.55,0.39838
0.551,0.820499
0.552,1.26583
0.553,1.26583
0.554,1.73094
0.555,2.16183
0.556,2.52714
0.557,2.85573
0.558,3.17664
0.559,3.17664
0.56,3.48733
0.561,3.82596
0.562,4.14357
0.563,4.46525
0.564,4.75084
0.565,4.75084
0.566,5.03832
0.567,5.28186
0.568,5.49558
0.569,5.69298
0.57,5.69298
0.571,5.87218
0.572,6.05138
0.573,6.1992
0.574,6.33886
0.575,6.47726
0.576,6.47726
0.577,6.59244
0.578,6.69506
0.579,6.7845
0.58,6.85355
0.581,6.90722
0.582,6.90722
0.583,6.94613
0.584,6.97062
0.585,6.98003
0.586,6.97689
0.587,6.96214
0.588,6.96214
0.589,6.93547
0.59,6.89403
0.591,6.84382
0.592,6.78231
0.593,6.70794
0.594,6.70794
0.595,6.62382
0.596,6.51838
0.597,6.40131
0.598,6.29367
0.599,6.16562
0.6,6.16562
0.601,6.03224
0.602,5.87187
0.603,5.69675
0.604,5.53575
0.605,5.35247
0.606,5.35247
0.607,5.14063
0.608,4.91687
0.609,4.6978
0.61,4.48754
0.611,4.23364
0.612,4.23364
0.613,3.98288
0.614,3.69792
0.615,3.41798
0.616,3.13772
0.617,3.13772
0.618,2.8347
0.619,2.52494
0.62,2.17031
0.621,1.83419
0.622,1.48049
0.623,1.11393
0.624,1.11393
0.625,0.734188
0.626,0.300152
