Format Version,1.23,Take Name,Take 2026-01-12 01.56.14 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-01-12 01.56.15.167 ,Total Frames in Take,360,Total Exported Frames,360,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001
,ID,"C3510","C3510","C3510","C3520","C3520","C3520"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,0.769490,0.188223,1.871954,0.316391,-0.137507,1.548614
1,0.008333,0.769463,0.188308,1.871934,0.316377,-0.137508,1.548539
2,0.016667,0.769475,0.188430,1.872046,0.316417,-0.137520,1.548614
3,0.025000,0.769419,0.188543,1.871979,0.316410,-0.137532,1.548632
4,0.033333,0.769412,0.188664,1.872011,0.316415,-0.137501,1.548560
5,0.041667,0.769365,0.188743,1.871930,0.316455,-0.137509,1.548746
6,0.050000,0.769357,0.188822,1.871892,0.316382,-0.137486,1.548442
7,0.058333,0.769387,0.188870,1.871895,0.316411,-0.137495,1.548511
8,0.066667,0.769423,0.188892,1.871870,0.316456,-0.137509,1.548739
9,0.075000,0.769472,0.188865,1.871877,0.316407,-0.137491,1.548534
10,0.083333,0.769492,0.188823,1.871790,0.316420,-0.137502,1.548596
11,0.091667,0.769544,0.188766,1.871786,0.316426,-0.137513,1.548693
12,0.100000,0.769590,0.188670,1.871774,0.316453,-0.137514,1.548793
13,0.108333,0.769639,0.188553,1.871701,0.316412,-0.137491,1.548570
14,0.116667,0.769666,0.188419,1.871590,0.316405,-0.137516,1.548658
15,0.125000,0.769766,0.188241,1.871551,0.316384,-0.137507,1.548603
16,0.133333,0.769806,0.188064,1.871421,0.316415,-0.137516,1.548707
17,0.141667,0.769930,0.187863,1.871402,0.316413,-0.137528,1.548711
18,0.150000,0.770019,0.187652,1.871311,0.316366,-0.137505,1.548548
19,0.158333,0.770127,0.187422,1.871204,0.316393,-0.137513,1.548623
20,0.166667,0.770240,0.187165,1.871030,0.316382,-0.137497,1.548568
21,0.175000,0.770452,0.186986,1.871124,0.316412,-0.137516,1.548702
22,0.183333,0.770593,0.186810,1.871071,0.316415,-0.137514,1.548671
23,0.191667,0.770850,0.186679,1.871218,0.316412,-0.137520,1.548669
24,0.200000,0.770994,0.186528,1.871095,0.316390,-0.137514,1.548620
25,0.208333,0.771161,0.186399,1.870987,0.316415,-0.137510,1.548653
26,0.216667,0.771297,0.186294,1.870853,0.316410,-0.137509,1.548658
27,0.225000,0.771459,0.186229,1.870828,0.316419,-0.137520,1.548668
28,0.233333,0.771581,0.186155,1.870652,0.316414,-0.137495,1.548579
29,0.241667,0.771764,0.186097,1.870658,0.316415,-0.137509,1.548636
30,0.250000,0.771845,0.186056,1.870515,0.316413,-0.137516,1.548649
31,0.258333,0.771961,0.186026,1.870473,0.316413,-0.137489,1.548574
32,0.266667,0.772001,0.185983,1.870280,0.316395,-0.137486,1.548545
33,0.275000,0.772053,0.185958,1.870220,0.316402,-0.137500,1.548541
34,0.283333,0.772162,0.185952,1.870364,0.316414,-0.137521,1.548672
35,0.291667,0.772181,0.185935,1.870313,0.316411,-0.137506,1.548649
36,0.300000,0.772168,0.185918,1.870253,0.316409,-0.137491,1.548556
37,0.308333,0.772190,0.185914,1.870338,0.316407,-0.137506,1.548637
38,0.316667,0.772147,0.185885,1.870318,0.316398,-0.137488,1.548499
39,0.325000,0.772081,0.185850,1.870285,0.316382,-0.137498,1.548500
40,0.333333,0.772022,0.185805,1.870316,0.316420,-0.137511,1.548669
41,0.341667,0.771957,0.185767,1.870414,0.316417,-0.137516,1.548668
42,0.350000,0.771842,0.185713,1.870419,0.316409,-0.137514,1.548639
43,0.358333,0.771765,0.185690,1.870600,0.316423,-0.137519,1.548708
44,0.366667,0.771655,0.185666,1.870717,0.316393,-0.137481,1.548510
45,0.375000,0.771488,0.185616,1.870756,0.316411,-0.137522,1.548624
46,0.383333,0.771387,0.185610,1.870936,0.316393,-0.137515,1.548584
47,0.391667,0.771181,0.185594,1.870928,0.316387,-0.137517,1.548558
48,0.400000,0.770991,0.185593,1.870956,0.316419,-0.137510,1.548697
49,0.408333,0.770811,0.185636,1.871034,0.316398,-0.137509,1.548615
50,0.416667,0.770538,0.185627,1.870948,0.316385,-0.137507,1.548567
51,0.425000,0.770322,0.185634,1.870966,0.316421,-0.137480,1.548607
52,0.433333,0.770005,0.185626,1.870785,0.316424,-0.137509,1.548708
53,0.441667,0.769874,0.185647,1.871088,0.316411,-0.137504,1.548591
54,0.450000,0.769576,0.185650,1.871138,0.316399,-0.137487,1.548512
55,0.458333,0.769328,0.185703,1.871427,0.316418,-0.137525,1.548656
56,0.466667,0.768946,0.185770,1.871537,0.316409,-0.137505,1.548644
57,0.475000,0.768601,0.185928,1.871973,0.316380,-0.137489,1.548473
58,0.483333,0.767971,0.186114,1.871885,0.316406,-0.137508,1.548627
59,0.491667,0.767117,0.186296,1.871466,0.316411,-0.137517,1.548674
60,0.500000,0.766587,0.186540,1.871789,0.316390,-0.137508,1.548562
61,0.508333,0.766052,0.186884,1.872340,0.316395,-0.137492,1.548528
62,0.516667,0.765424,0.187187,1.872559,0.316410,-0.137515,1.548660
63,0.525000,0.764596,0.187402,1.872199,0.316413,-0.137507,1.548647
64,0.533333,0.763984,0.187670,1.872337,0.316414,-0.137514,1.548663
65,0.541667,0.763526,0.187988,1.872724,0.316382,-0.137507,1.548577
66,0.550000,0.763127,0.188277,1.873072,0.316397,-0.137488,1.548521
67,0.558333,0.762719,0.188588,1.873236,0.316412,-0.137516,1.548674
68,0.566667,0.762374,0.188989,1.873342,0.316415,-0.137509,1.548667
69,0.575000,0.761892,0.189466,1.872883,0.316412,-0.137511,1.548654
